time,violation,image
2026-03-24 16:33:58.139020,No Helmet 🚨,data/images\20260324_163358_139020.jpg
2026-03-24 16:34:01.327957,No Helmet 🚨,data/images\20260324_163401_327957.jpg
2026-03-24 16:34:39.223606,No Helmet 🚨,data/images\20260324_163439_223606.jpg
2026-03-24 16:34:42.229352,No Helmet 🚨,data/images\20260324_163442_229352.jpg
2026-03-24 16:34:45.263741,No Helmet 🚨,data/images\20260324_163445_263741.jpg
2026-03-24 16:34:48.301728,No Helmet 🚨,data/images\20260324_163448_301728.jpg
2026-03-24 16:34:51.380352,No Helmet 🚨,data/images\20260324_163451_380352.jpg
2026-03-24 16:34:54.385048,No Helmet 🚨,data/images\20260324_163454_385048.jpg
2026-03-24 16:35:03.926984,No Helmet 🚨,data/images\20260324_163503_926984.jpg
2026-03-24 16:35:18.651931,No Helmet 🚨,data/images\20260324_163518_651931.jpg
2026-03-24 16:35:23.467330,No Helmet 🚨,data/images\20260324_163523_467330.jpg
2026-03-24 16:35:26.607750,No Helmet 🚨,data/images\20260324_163526_607750.jpg
2026-03-24 16:35:29.655870,No Helmet 🚨,data/images\20260324_163529_655870.jpg
2026-03-24 16:35:32.663816,No Helmet 🚨,data/images\20260324_163532_663816.jpg
2026-03-24 16:35:36.093898,No Helmet 🚨,data/images\20260324_163536_093898.jpg
2026-03-24 16:35:39.113654,No Helmet 🚨,data/images\20260324_163539_113654.jpg
2026-03-24 16:35:42.138752,No Helmet 🚨,data/images\20260324_163542_138752.jpg
2026-03-24 16:35:45.330289,No Helmet 🚨,data/images\20260324_163545_330289.jpg
2026-03-24 16:35:48.380063,No Helmet 🚨,data/images\20260324_163548_380063.jpg
2026-03-24 16:35:51.540475,No Helmet 🚨,data/images\20260324_163551_540475.jpg
2026-03-24 16:36:12.734691,Fire Detected 🔥,data/images\20260324_163612_734691.jpg
2026-03-24 16:36:16.694133,No Helmet 🚨,data/images\20260324_163616_694133.jpg
2026-03-24 16:36:38.854387,No Helmet 🚨,data/images\20260324_163638_854387.jpg
2026-03-24 16:37:06.277220,No Helmet 🚨,data/images\20260324_163706_277220.jpg
2026-03-24 16:37:09.320914,No Helmet 🚨,data/images\20260324_163709_320914.jpg
2026-03-24 16:37:12.364954,No Helmet 🚨,data/images\20260324_163712_364954.jpg
2026-03-24 16:37:15.462080,No Helmet 🚨,data/images\20260324_163715_462080.jpg
2026-03-24 16:37:18.594639,No Helmet 🚨,data/images\20260324_163718_594639.jpg
2026-03-24 16:37:21.637180,No Helmet 🚨,data/images\20260324_163721_637180.jpg
2026-03-24 16:37:24.665409,No Helmet 🚨,data/images\20260324_163724_665409.jpg
2026-03-24 16:38:19.622306,No Helmet 🚨,data/images\20260324_163819_622306.jpg
2026-03-24 16:38:23.448453,No Helmet 🚨,data/images\20260324_163823_448453.jpg
2026-03-24 16:38:27.512363,No Helmet 🚨,data/images\20260324_163827_512363.jpg
2026-03-24 16:38:36.351211,No Helmet 🚨,data/images\20260324_163836_351211.jpg
2026-03-24 16:38:39.870753,No Helmet 🚨,data/images\20260324_163839_870753.jpg
2026-03-24 16:38:47.110112,No Helmet 🚨,data/images\20260324_163847_110112.jpg
2026-03-24 16:38:50.170344,No Helmet 🚨,data/images\20260324_163850_170344.jpg
2026-03-24 16:38:53.293354,No Helmet 🚨,data/images\20260324_163853_293354.jpg
2026-03-24 16:38:56.340713,No Helmet 🚨,data/images\20260324_163856_340713.jpg
